徽章,行走天數,地點,山名,難度,總距離(km),總時間(min),爬升高度(m),下降高度(m),地形路況,型態,最低海拔(m),最高海拔(m),所屬山系,入園證,入山證,詳細資訊,行程,區域
badge,walk_days,location,mt_name,diff,dist_km,time_min,ascend_m,descend_m,trail_cond,route_type,min_alt_m,max_alt_m,mt_range,park_permit,mt_permit,TripDetails,TripSchedule,region
百岳,1,花蓮縣秀林鄉,合歡主峰步道,1,3.6,131,202,195,水泥路,線型單向,3228,3417,合歡山系,0,0,"合歡山主峰是最親民的百岳路線之一，主峰標高3,417 公尺，由登山口出發，約一小時便可登頂，登頂後可盡覽合歡群峰、奇萊連峰、南湖大山等知名百岳，視野良好，是許多人的第一座百岳。於此處欣賞日出或日落皆宜，唯需注意要備妥頭燈與保暖衣物等必要裝備，以確保安全。
2024年4月-8月步道施工，全線封閉，最新消息請至太魯閣國家公園管理處官網查詢。","day: 合歡山主峰登山口 → (497 m, 17 m) → 觀景台 → (1 km, 38 m) → 廁所 → (175 m, 17 m) → 合歡山主峰

 → (996 m, 1 h) → 出登山口

",東
百岳,1,花蓮縣秀林鄉,羊頭山步道,2,7.6,479,1360,1137,"木梯,原始山徑,碎石坡",線型單向,1950,3035,中央山脈,1,0,"羊頭山是百岳中的老么（No.100），也是「中橫四辣」中的「小辣」，由登山口需陡上 1,000 公尺，足見其挑戰性。登頂可見畢祿山、鈴鳴山、中央尖山等百岳名山。羊頭山有其特殊歷史性：1969 年臺灣登山界「四大天王」之一的林文安先生完成羊頭山首攀，並將它列為百岳之一，帶動登山界攀登羊頭山的風潮。","day: 登山口（簡陋） → (200 m, 16 m) → 脫外套 → (1.2 km, 1 h 23 m) → 休息 → (22 m, 12 m) → 出發 → (399 m, 34 m) → 2k → (153 m, 15 m) → 休息 → (590 m, 1 h 7 m) → 三叉路口 → (29 m, 15 m) → 往羊頭 → (1 km, 1 h 3 m) → 羊頭山 → (0 m, 1 h 10 m) → 下山 → (0 m, 0 s) → 下山 → (960 m, 1 h 1 m) → 回到三岔路口 → (45 m, 15 m) → 回程下坡",東
百岳,1,南投縣仁愛鄉,石門山步道（合歡群峰）,1,1.2,67,95,187,"木棧道,石階",線型雙向,3050,3237,合歡山系,0,0,合歡群峰中的石門山，公認為「最簡單的百岳」，由登山口出發後半小時內就可抵達山頂，輕鬆欣賞合歡主峰、南湖大山、奇萊主峰、中央尖山等群峰環繞的壯闊美景。,"day: 停車於3158咖啡旁停車場 → (59 m, 4 m) → 行經合歡尖山登山口 → (109 m, 4 m) → 前方為石門山 → (103 m, 3 m) → 登山口旁有一個較小的停車場 → (259 m, 16 m) →  → (100 m, 3 m) →  → (266 m, 21 m) → 山頂",中
百岳,1,花蓮縣秀林鄉,合歡東峰步道,1,1.7,136,275,288,"石階,山徑,木棧道",線型單向,3123,3421,合歡山系,0,0,"合歡東峰海拔 3,421 公尺，百岳之一，登山口位於台 14 甲線松雪樓後方。步道四季景色分明，春季野花綻放，夏季綠意盎然、秋季蕭瑟、冬季覆雪，景緻各有千秋。步道沿線為玉山杜鵑族群最為集中之處，每逢 5、6 月間，桃紅色花海點綴著山頭滿山的奼紫嫣紅。昔日在坡度較為平緩的東峰東側曾設有滑雪訓練場，因此步道沿途可見廢棄的纜車轉運站。（資料來源：台灣山林悠遊網）","day: 開始登山 → (703 m, 1 h 22 m) → 1 km → (158 m, 13 m) → 合歡山東峰-3421m → (505 m, 34 m) → 2 km → (104 m, 6 m) → 安全下山",東
百岳,1,高雄市桃源區,小關山,3,11,498,1173,1092,"林道,原始山徑",線型單向,2134,3249,中央山脈,0,1,"小關山位於中央山脈大縱走「南一段」的路線中段，海拔 3249 公尺，百岳編號第 61 號，附近接連海諾南山、卑南主山等山。其特色為山形醒目，並為中央山脈主稜轉彎處。
小關山林道路況不佳，建議四輪傳動車或包車前往。中途經神池營地，部分山友會安排兩天行程並在此紮營，行程較不會太累。","day: 登山口 → (3.2 km, 2 h 20 m) → 神池 → (2.2 km, 2 h 58 m) → 小關山 → (5.4 km, 3 h) → 登山口",南
百岳,1,嘉義縣阿里山鄉,玉山前峰步道,2,7,400,724,751,"林道,泥土路,碎石路",線型單向,2603,3239,玉山山脈,1,1,"玉山前峰海拔 3,239 公尺，為玉山群峰的入門百岳，路線雖然不長，但最具挑戰性的地方在於需手腳並用陡上石瀑地形，是考驗肌力與協調性的路線。","day: 開始登山 → (309 m, 18 m) → 鐵鏈 → (208 m, 8 m) → 0.5km → (403 m, 31 m) → 1km → (421 m, 26 m) → 1.5km → (121 m, 2 m) → 孟祿亭 → (226 m, 14 m) → 廁所 → (226 m, 11 m) → 2.0km → (434 m, 20 m) → 2.5km → (240 m, 7 m) → 2.7km → (148 m, 24 m) → 前0.6km → (123 m, 17 m) → 前0.4km → (375 m, 2 h 2 m) → 玉山前峰三角點 → (6 m, 1 m) → 下山 → (571 m, 1 h 14 m) → 回到分叉點 → (948 m, 48 m) → 回到孟祿亭 → (1.5 km, 54 m) → 安全下山",南
百岳,1,南投縣仁愛鄉,合歡北峰登山步道,1,4.3,187,402,461,"枕木步道,箭竹山徑",線型單向,2951,3422,合歡山系,0,0,"合歡北峰海拔 3,422 公尺，是合歡群峰中的最高峰，也是「十崇」之一。最知名的地標為接近山頂前的一巨型反射板，此處視野開闊，運氣好可觀雲海、日出，十分值得一覽。行經反射板後，走在箭竹短草原中，視野開闊，是臺灣高山最具魅力的景色之一。合歡北峰因路程較短、地形相對單純，且交通便利，是很適合入門的新手百岳路線。<br>過去山友常紮營的小溪營地，依太魯閣國家公園規定，為禁止宿營區域，請山友留意勿前往紮營，以免受罰。","day: 小風口登山口 → (674 m, 51 m) → .9k → (0 m, 3 m) → 玉山圓柏 → (405 m, 32 m) → 合歡北峰步道 → (56 m, 8 m) → 合歡北峰反射板 → (626 m, 24 m) → 合歡山北峰 → (775 m, 25 m) → 合歡北峰步道 → (406 m, 16 m) → .9k → (667 m, 25 m) → 小風口登山口",中
百岳,1,臺東縣海端鄉,關山嶺山步道,1,2.3,134,324,452,"土徑步道,岩壁",線型單向,2704,3176,中央山脈,0,1,關山嶺山、塔關山以及庫哈諾辛山合稱「南橫三星」，屬於中央山脈中段之末，位處玉山國家公園範圍內，其中登山口位於南橫公路大關山隧道旁的關山嶺山，是南橫三星中最容易攀登的山峰，為台灣百岳之一。步道沿途高海拔森林植被及地形景觀多樣壯闊，無論是高聳入天際的鐵杉林、雲杉林，傲然挺立的白木林，或是演替初期的玉山箭竹草原，都詮釋著台灣高山生態的豐饒與活力，就在步道旁的峭壁裸岩間，便可看到綠色植群正以最大的可能擴展生命版圖。稜線上的展望極佳，可以眺望庫哈諾辛山與關山，山頂更是觀賞關山大崩壁的最佳的地方。（資料來源：台灣山林悠遊網）,"day: 登山口 → (1 km, 1 h 38 m) → 三角點 → (1.1 km, 37 m) → 登山口",東
百岳,1,南投縣信義鄉,西巒大山,3,11.8,561,1623,1516,"土石山徑,針葉樹根路徑,岩壁",線型單向,1573,3081,玉山山塊郡大山列,0,1,"西巒大山與志佳陽大山都是被山友們稱作「單攻聖品」的熱門一日來回百岳行程，起登後一路陡升1,500 公尺，因此也被戲稱為「膝軟大山」。有展望處不多，可遠望日月潭。","day: 開始登山-登山口 → (874 m, 31 m) → 1K處 → (975 m, 43 m) → 2K處 → (560 m, 40 m) → 2.68K處-森林營地 → (220 m, 11 m) → 3K處 → (729 m, 41 m) → 3.84K處 廢墟木屋營地 → (782 m, 1 h 9 m) → 5K處 → (736 m, 1 h 21 m) → 6K處 → (323 m, 31 m) → 6.5K處 西巒大山三角點 → (4.2 km, 4 h 23 m) → 回程-1.68K處 → (1.6 km, 29 m) → 安全下山",中
合歡群峰,1,南投縣仁愛鄉,合歡南峰步道,1,5.9,152,461,333,原始山徑,線型單向,3079,3473,中央山脈,0,0,"合歡山南峰，海拔 3,205 公尺，登山口位於昆陽停車場旁，約 20 分鐘即可登頂。雖不屬百岳，但登上山頂可由不同角度欣賞合歡群峰，也是非常值得一走的路線，可與合歡山主峰一同安排。","day: 開始登山-昆陽停車場 → (408 m, 28 m) → 合歡南峰 → (942 m, 24 m) → 合歡主峰登山口 → (1.1 km, 38 m) → 合歡主峰到了 → (1.7 km, 40 m) → 合歡山主峰登山口 → (1.2 km, 22 m) → 返回昆陽停車場",中
平岩山,1,宜蘭縣大同鄉,平多縱走（平岩山、多加屯山）,3,16.4,599,1065,763,"林道,木梯,原始山徑,碎石坡",線型單向,2545,3103,中央山脈,1,0,平岩山沿途可展望雪山山脈，登頂後可欣賞南湖群峰、中央尖山，有「百岳觀景臺」的美名。,"day: 開始登山 → (282 m, 8 m) → 林道口 → (984 m, 27 m) → 平岩山登山口 → (707 m, 19 m) → 雨量計 → (600 m, 29 m) → 小空地 → (685 m, 41 m) → 平岩池 → (197 m, 21 m) → 出發 → (397 m, 21 m) → 防火巷起點 → (344 m, 15 m) → 展望點 → (385 m, 22 m) → 平岩山 → (53 m, 23 m) → 出發 → (863 m, 27 m) → 2824峰 → (1 km, 39 m) → 岩體觀景點 → (12 m, 11 m) → 出發 → (999 m, 35 m) → 多加屯山屋 → (0 m, 1 m) → 南湖三叉路 → (845 m, 29 m) → 多加屯山 → (770 m, 43 m) → 南湖三叉口 → (347 m, 9 m) → 松風嶺叉8K → (118 m, 8 m) → 出發 → (1.2 km, 35 m) → 南湖登山口林道6.8k → (340 m, 7 m) → 6.2K高繞點 → (21 m, 5 m) → 出發 → (352 m, 27 m) → 高繞結束接林道 → (1.1 km, 20 m) →  → (45 m, 6 m) → 勝光山 → (670 m, 28 m) → 大水池 → (1.1 km, 30 m) → 勝光登山口 → (36 m, 0 s) → 安全下山",北
百岳,1,臺東縣海端鄉,塔關山,2,2.2,201,630,1805,"吊橋,泥土路,鐵棧道",線型單向,1540,3222,雪山山脉,1,0,"塔關山，又名大關山，是台灣中央山脈南段主脊上著名高山關山東北側的山峰，標高 3,222 公尺，台灣百岳排名第 72，位於臺東縣海端鄉利稻村與高雄市桃源區梅山里之間，玉山國家公園西南邊界，為南橫三星之中岳。（資料來源：維基百科）","day: 登山口 → (408 m, 19 m) → 大關山駐在所遺址 → (186 m, 13 m) → 1 km → (40 m, 25 m) → 休息椅 → (27 m, 5 m) → 1k路標 → (92 m, 11 m) → 訊號點（台哥大、中華） → (296 m, 23 m) → 1.5k路標 → (194 m, 36 m) → 2k路標 → (31 m, 5 m) → 休息椅子 → (16 m, 11 m) → 7535三角點 → (11 m, 34 m) → 回程 → (14 m, 3 m) → 2 km → (385 m, 1 h 46 m) → 抵達",東
